GeneID	Symbol	Synonyms	description	type_of_gene
128318554	LOC128318554	-	uncharacterized LOC128318554	ncRNA
128318555	LOC128318555	-	uncharacterized LOC128318555	protein-coding
128318556	LOC128318556	-	uncharacterized LOC128318556	ncRNA
128318557	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318558	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318559	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318560	LOC128318560	-	uncharacterized LOC128318560	ncRNA
128318561	LOC128318561	-	alcohol dehydrogenase class-3-like	protein-coding
128318562	LOC128318562	-	C-C motif chemokine 14-like	protein-coding
128318563	LOC128318563	-	uncharacterized LOC128318563	ncRNA
128318564	LOC128318564	-	alcohol dehydrogenase class-3-like	protein-coding
128318565	LOC128318565	-	uncharacterized LOC128318565	ncRNA
128318566	parietopsin	-	parietopsin	protein-coding
128318567	LOC128318567	-	uncharacterized LOC128318567	ncRNA
128318568	LOC128318568	-	uncharacterized LOC128318568	protein-coding
128318569	LOC128318569	-	uncharacterized LOC128318569	ncRNA
128318570	LOC128318570	-	uncharacterized LOC128318570	ncRNA
128318571	LOC128318571	-	uncharacterized LOC128318571	protein-coding
128318572	LOC128318572	-	uncharacterized LOC128318572	pseudo
128318573	LOC128318573	-	Ig kappa chain V region K29-213-like	other
128318574	LOC128318574	-	uncharacterized LOC128318574	ncRNA
128318575	LOC128318575	-	uncharacterized LOC128318575	ncRNA
128318576	LOC128318576	-	uncharacterized LOC128318576	ncRNA
128318577	LOC128318577	-	uncharacterized LOC128318577	ncRNA
128318578	LOC128318578	-	uncharacterized LOC128318578	ncRNA
128318579	LOC128318579	-	uncharacterized protein C21orf140 homolog	pseudo
128318580	LOC128318580	-	uncharacterized LOC128318580	protein-coding
128318581	LOC128318581	-	loricrin	protein-coding
128318582	LOC128318582	-	uncharacterized LOC128318582	ncRNA
128318583	LOC128318583	-	uncharacterized LOC128318583	ncRNA
128318584	LOC128318584	-	uncharacterized LOC128318584	ncRNA
128318585	crhr2	-	corticotropin releasing hormone receptor 2	protein-coding
128318586	LOC128318586	-	uncharacterized LOC128318586	ncRNA
128318587	LOC128318587	-	uncharacterized LOC128318587	ncRNA
128318588	LOC128318588	-	sorbin and SH3 domain-containing protein 2-like	protein-coding
128318589	LOC128318589	-	uncharacterized LOC128318589	ncRNA
128318590	LOC128318590	-	uncharacterized LOC128318590	ncRNA
128318591	LOC128318591	-	uncharacterized LOC128318591	ncRNA
128318592	LOC128318592	-	uncharacterized LOC128318592	ncRNA
128318593	LOC128318593	-	NLR family CARD domain-containing protein 3-like	protein-coding
128318594	LOC128318594	-	uncharacterized LOC128318594	protein-coding
128318595	LOC128318595	-	uncharacterized LOC128318595	ncRNA
128318596	LOC128318596	-	NLR family CARD domain-containing protein 3-like	protein-coding
128318597	LOC128318597	-	uncharacterized LOC128318597	pseudo
128318598	LOC128318598	-	uncharacterized LOC128318598	ncRNA
128318599	LOC128318599	-	uncharacterized LOC128318599	ncRNA
128318600	LOC128318600	-	uncharacterized LOC128318600	ncRNA
128318601	LOC128318601	-	uncharacterized LOC128318601	ncRNA
128318602	LOC128318602	-	uncharacterized LOC128318602	ncRNA
128318603	LOC128318603	-	uncharacterized LOC128318603	ncRNA
128318604	LOC128318604	-	uncharacterized LOC128318604	ncRNA
128318605	LOC128318605	-	piggyBac transposable element-derived protein 3-like	protein-coding
128318606	LOC128318606	-	uncharacterized LOC128318606	ncRNA
128318607	LOC128318607	-	uncharacterized LOC128318607	ncRNA
128318608	LOC128318608	-	uncharacterized LOC128318608	ncRNA
128318609	LOC128318609	-	uncharacterized LOC128318609	pseudo
128318610	LOC128318610	-	uncharacterized LOC128318610	protein-coding
128318611	LOC128318611	-	uncharacterized LOC128318611	ncRNA
128318612	LOC128318612	-	uncharacterized LOC128318612	protein-coding
128318613	LOC128318613	-	uncharacterized LOC128318613	ncRNA
128318614	LOC128318614	-	uncharacterized LOC128318614	protein-coding
128318615	LOC128318615	-	uncharacterized LOC128318615	protein-coding
128318616	LOC128318616	-	uncharacterized LOC128318616	protein-coding
128318617	LOC128318617	-	uncharacterized LOC128318617	protein-coding
128318618	LOC128318618	-	uncharacterized LOC128318618	protein-coding
128318619	LOC128318619	-	uncharacterized LOC128318619	protein-coding
128318620	LOC128318620	-	uncharacterized LOC128318620	protein-coding
128318621	LOC128318621	-	uncharacterized LOC128318621	ncRNA
128318622	LOC128318622	-	uncharacterized LOC128318622	ncRNA
128318623	LOC128318623	-	uncharacterized LOC128318623	ncRNA
128318624	LOC128318624	-	uncharacterized LOC128318624	ncRNA
128318625	LOC128318625	-	uncharacterized LOC128318625	pseudo
128318626	LOC128318626	-	cytochrome P450 2D3-like	protein-coding
128318627	LOC128318627	-	uncharacterized LOC128318627	ncRNA
128318628	LOC128318628	-	uncharacterized LOC128318628	ncRNA
128318629	LOC128318629	-	uncharacterized LOC128318629	ncRNA
128318630	LOC128318630	-	uncharacterized LOC128318630	ncRNA
128318631	LOC128318631	-	uncharacterized LOC128318631	ncRNA
128318632	LOC128318632	-	uncharacterized LOC128318632	ncRNA
128318633	LOC128318633	-	spexin prohormone 2-like	protein-coding
128318634	LOC128318634	-	uncharacterized LOC128318634	ncRNA
128318635	LOC128318635	-	transcription factor HES-4-B-like	protein-coding
128318636	LOC128318636	-	uncharacterized LOC128318636	ncRNA
128318637	LOC128318637	-	uncharacterized LOC128318637	protein-coding
128318638	LOC128318638	-	uncharacterized LOC128318638	ncRNA
128318639	LOC128318639	-	uncharacterized LOC128318639	protein-coding
128318640	LOC128318640	-	uncharacterized LOC128318640	ncRNA
128318641	LOC128318641	-	uncharacterized LOC128318641	ncRNA
128318642	LOC128318642	-	uncharacterized LOC128318642	ncRNA
128318643	LOC128318643	-	uncharacterized LOC128318643	ncRNA
128318644	LOC128318644	-	uncharacterized LOC128318644	protein-coding
128318645	LOC128318645	-	cofilin-2-like	protein-coding
128318646	LOC128318646	-	uncharacterized LOC128318646	protein-coding
128318647	LOC128318647	-	BTB/POZ domain-containing protein KCTD16-like	protein-coding
128318648	LOC128318648	-	uncharacterized LOC128318648	ncRNA
128318649	LOC128318649	-	uncharacterized LOC128318649	ncRNA
128318650	LOC128318650	-	NLR family CARD domain-containing protein 3-like	pseudo
128318651	LOC128318651	-	uncharacterized LOC128318651	ncRNA
128318652	LOC128318652	-	uncharacterized LOC128318652	protein-coding
128318653	LOC128318653	-	U1 spliceosomal RNA	snRNA
128318654	LOC128318654	-	U1 spliceosomal RNA	snRNA
128318655	LOC128318655	-	U1 spliceosomal RNA	snRNA
128318656	LOC128318656	-	U1 spliceosomal RNA	snRNA
128318657	LOC128318657	-	U1 spliceosomal RNA	snRNA
128318658	LOC128318658	-	U1 spliceosomal RNA	snRNA
128318659	LOC128318659	-	U1 spliceosomal RNA	snRNA
128318660	LOC128318660	-	U1 spliceosomal RNA	snRNA
128318661	LOC128318661	-	U1 spliceosomal RNA	snRNA
128318662	LOC128318662	-	U1 spliceosomal RNA	snRNA
128318663	LOC128318663	-	U1 spliceosomal RNA	snRNA
128318664	LOC128318664	-	U1 spliceosomal RNA	snRNA
128318665	LOC128318665	-	U1 spliceosomal RNA	snRNA
128318666	LOC128318666	-	U1 spliceosomal RNA	snRNA
128318667	LOC128318667	-	U1 spliceosomal RNA	snRNA
128318668	LOC128318668	-	U1 spliceosomal RNA	snRNA
128318669	LOC128318669	-	U1 spliceosomal RNA	snRNA
128318670	LOC128318670	-	U1 spliceosomal RNA	snRNA
128318671	LOC128318671	-	U1 spliceosomal RNA	snRNA
128318672	LOC128318672	-	U1 spliceosomal RNA	snRNA
128318673	LOC128318673	-	U1 spliceosomal RNA	snRNA
128318674	LOC128318674	-	U1 spliceosomal RNA	snRNA
128318675	LOC128318675	-	U1 spliceosomal RNA	snRNA
128318676	LOC128318676	-	U1 spliceosomal RNA	snRNA
128318677	LOC128318677	-	U1 spliceosomal RNA	snRNA
128318678	LOC128318678	-	U1 spliceosomal RNA	snRNA
128318679	LOC128318679	-	U1 spliceosomal RNA	snRNA
128318680	trnam-cau	-	transfer RNA methionine (anticodon CAU)	tRNA
128318681	trnav-cac	-	transfer RNA valine (anticodon CAC)	tRNA
128318682	LOC128318682	-	uncharacterized LOC128318682	protein-coding
128318683	LOC128318683	-	uncharacterized LOC128318683	protein-coding
128318684	rimoc1	-	rab7a interacting mon1-ccz1 complex subunit 1	protein-coding
128318685	LOC128318685	-	uncharacterized LOC128318685	ncRNA
128318686	LOC128318686	-	tumor necrosis factor receptor superfamily member 14-like	protein-coding
128318687	LOC128318687	-	uncharacterized LOC128318687	ncRNA
128318688	LOC128318688	-	tumor necrosis factor receptor superfamily member 14-like	protein-coding
128318689	LOC128318689	-	uncharacterized LOC128318689	ncRNA
128318690	LOC128318690	-	uncharacterized LOC128318690	ncRNA
128318691	LOC128318691	-	uncharacterized LOC128318691	ncRNA
128318692	LOC128318692	-	uncharacterized LOC128318692	ncRNA
128318693	LOC128318693	-	uncharacterized LOC128318693	ncRNA
128318694	LOC128318694	-	uncharacterized LOC128318694	ncRNA
128318695	LOC128318695	-	uncharacterized LOC128318695	ncRNA
128318696	LOC128318696	-	uncharacterized LOC128318696	ncRNA
128318697	LOC128318697	-	coiled-coil domain-containing protein 1-like	protein-coding
128318698	LOC128318698	-	uncharacterized LOC128318698	ncRNA
128318699	LOC128318699	-	uncharacterized LOC128318699	protein-coding
128318700	LOC128318700	-	uncharacterized LOC128318700	pseudo
128318701	LOC128318701	-	cyclin-dependent kinase 16-like	protein-coding
128318702	LOC128318702	-	glutathione hydrolase 1 proenzyme-like	protein-coding
128318703	LOC128318703	-	uncharacterized LOC128318703	ncRNA
128318704	LOC128318704	-	uncharacterized LOC128318704	protein-coding
128318705	LOC128318705	-	uncharacterized LOC128318705	protein-coding
128318706	LOC128318706	-	beta-1,4-galactosyltransferase galt-1-like	protein-coding
128318707	LOC128318707	-	cyclin-dependent kinase 18-like	protein-coding
128318708	LOC128318708	-	uncharacterized LOC128318708	ncRNA
128318709	LOC128318709	-	beta-1,4-galactosyltransferase galt-1-like	protein-coding
128318710	avp	-	arginine vasopressin	protein-coding
128318711	LOC128318711	-	uncharacterized LOC128318711	ncRNA
128318712	LOC128318712	-	uncharacterized LOC128318712	ncRNA
128318713	LOC128318713	-	microtubule-associated protein tau-like	protein-coding
128318714	LOC128318714	-	uncharacterized LOC128318714	protein-coding
128318715	slc44a5b	-	solute carrier family 44 member 5b	protein-coding
128318716	LOC128318716	-	NACHT, LRR and PYD domains-containing protein 3-like	protein-coding
128318717	LOC128318717	-	cyclin-dependent kinase 18-like	protein-coding
128318718	LOC128318718	-	uncharacterized LOC128318718	ncRNA
128318719	LOC128318719	-	uncharacterized LOC128318719	ncRNA
128318720	LOC128318720	-	uncharacterized LOC128318720	ncRNA
128318721	LOC128318721	-	uncharacterized LOC128318721	protein-coding
128318722	LOC128318722	-	espin-like protein	protein-coding
128318723	LOC128318723	-	uncharacterized LOC128318723	ncRNA
128318724	LOC128318724	-	cAMP-specific 3',5'-cyclic phosphodiesterase 4D	protein-coding
128318725	LOC128318725	-	uncharacterized LOC128318725	protein-coding
128318726	trnam-cau	-	transfer RNA methionine (anticodon CAU)	tRNA
128318727	trnak-cuu	-	transfer RNA lysine (anticodon CUU)	tRNA
128318728	trnat-cgu	-	transfer RNA threonine (anticodon CGU)	tRNA
128318729	LOC128318729	-	uncharacterized LOC128318729	ncRNA
128318730	LOC128318730	-	uncharacterized LOC128318730	ncRNA
128318731	LOC128318731	-	protocadherin alpha-13-like	protein-coding
128318732	LOC128318732	-	protocadherin alpha-3-like	protein-coding
128318733	LOC128318733	-	immunoglobulin kappa variable 3-11-like	other
128318734	LOC128318734	-	uncharacterized LOC128318734	ncRNA
128318735	LOC128318735	-	uncharacterized protein K02A2.6-like	protein-coding
128318736	LOC128318736	-	uncharacterized protein K02A2.6-like	protein-coding
128318737	LOC128318737	-	uncharacterized LOC128318737	ncRNA
128318738	LOC128318738	-	immunoglobulin kappa constant-like	other
128318739	LOC128318739	-	uncharacterized LOC128318739	pseudo
128318740	LOC128318740	-	uncharacterized LOC128318740	protein-coding
128318741	LOC128318741	-	Ig kappa-b4 chain C region-like	other
128318742	LOC128318742	-	Ig kappa-b4 chain C region-like	other
128318743	LOC128318743	-	Ig kappa-b4 chain C region-like	other
128318744	LOC128318744	-	Ig kappa-b4 chain C region-like	other
128318745	LOC128318745	-	receptor-type tyrosine-protein phosphatase eta-like	protein-coding
128318746	LOC128318746	-	uncharacterized LOC128318746	pseudo
128318747	LOC128318747	-	NLR family CARD domain-containing protein 3-like	protein-coding
128318748	LOC128318748	-	segment polarity protein dishevelled homolog DVL-1-like	pseudo
128318749	LOC128318749	-	NLR family CARD domain-containing protein 3-like	protein-coding
128318750	LOC128318750	-	NLR family CARD domain-containing protein 3-like	protein-coding
128318751	LOC128318751	-	NACHT, LRR and PYD domains-containing protein 3-like	protein-coding
128318752	LOC128318752	-	uncharacterized LOC128318752	pseudo
128318753	LOC128318753	-	uncharacterized LOC128318753	pseudo
128318754	LOC128318754	-	uncharacterized LOC128318754	protein-coding
128318755	LOC128318755	-	uncharacterized LOC128318755	protein-coding
128318756	LOC128318756	-	uncharacterized LOC128318756	protein-coding
128318757	LOC128318757	-	mesothelin-like protein	protein-coding
128318758	LOC128318758	-	uncharacterized LOC128318758	protein-coding
128318759	LOC128318759	-	mesothelin-like protein	protein-coding
128318760	LOC128318760	-	uncharacterized LOC128318760	protein-coding
128318761	LOC128318761	-	mesothelin-like protein	protein-coding
128318762	LOC128318762	-	uncharacterized LOC128318762	protein-coding
128318763	LOC128318763	-	mesothelin-like protein	protein-coding
128318764	LOC128318764	-	uncharacterized LOC128318764	protein-coding
128318765	LOC128318765	-	uncharacterized LOC128318765	protein-coding
128318766	LOC128318766	-	uncharacterized LOC128318766	ncRNA
128318767	LOC128318767	-	uncharacterized LOC128318767	ncRNA
128318768	LOC128318768	-	uncharacterized LOC128318768	ncRNA
128318769	LOC128318769	-	uncharacterized LOC128318769	ncRNA
128318770	LOC128318770	-	ribonuclease inhibitor-like	protein-coding
128318771	LOC128318771	-	uncharacterized LOC128318771	ncRNA
128318772	LOC128318772	-	Ig kappa chain V region K-25-like	other
128318773	LOC128318773	-	NLR family CARD domain-containing protein 3-like	protein-coding
128318774	LOC128318774	-	uncharacterized LOC128318774	protein-coding
128318775	LOC128318775	-	uncharacterized LOC128318775	ncRNA
128318776	LOC128318776	-	von Willebrand factor A domain-containing protein 5A-like	protein-coding
128318777	LOC128318777	-	uncharacterized LOC128318777	ncRNA
128318778	LOC128318778	-	uncharacterized LOC128318778	protein-coding
128318779	LOC128318779	-	uncharacterized LOC128318779	protein-coding
128318780	LOC128318780	-	uncharacterized LOC128318780	protein-coding
128318781	LOC128318781	-	uncharacterized LOC128318781	ncRNA
128318782	LOC128318782	-	segment polarity protein dishevelled homolog DVL-1-like	protein-coding
128318783	LOC128318783	-	mesothelin-like protein	protein-coding
128318784	LOC128318784	-	mesothelin-like protein	protein-coding
128318785	LOC128318785	-	mesothelin-like protein	protein-coding
128318786	LOC128318786	-	macrophage mannose receptor 1-like	protein-coding
128318787	LOC128318787	-	uncharacterized LOC128318787	protein-coding
128318788	LOC128318788	-	uncharacterized LOC128318788	ncRNA
128318789	LOC128318789	-	uncharacterized LOC128318789	protein-coding
128318790	LOC128318790	-	uncharacterized LOC128318790	protein-coding
128318791	LOC128318791	-	mesothelin-like protein	protein-coding
128318792	LOC128318792	-	uncharacterized LOC128318792	ncRNA
128318793	LOC128318793	-	immunoglobulin-like and fibronectin type III domain-containing protein 1	protein-coding
128318794	LOC128318794	-	uncharacterized LOC128318794	ncRNA
128318795	LOC128318795	-	uncharacterized LOC128318795	ncRNA
128318796	LOC128318796	-	uncharacterized LOC128318796	ncRNA
128318797	LOC128318797	-	uncharacterized LOC128318797	ncRNA
128318798	si:ch211-198c19.1	-	uncharacterized LOC128318798	protein-coding
128318799	LOC128318799	-	integumentary mucin C.1-like	protein-coding
128318800	LOC128318800	-	butyrophilin subfamily 1 member A1-like	protein-coding
128318801	LOC128318801	-	butyrophilin subfamily 1 member A1-like	protein-coding
128318802	LOC128318802	-	butyrophilin subfamily 1 member A1-like	protein-coding
128318803	LOC128318803	-	butyrophilin subfamily 1 member A1-like	protein-coding
128318804	LOC128318804	-	uncharacterized LOC128318804	protein-coding
128318805	LOC128318805	-	uncharacterized LOC128318805	protein-coding
128318806	LOC128318806	-	uncharacterized LOC128318806	protein-coding
128318807	LOC128318807	-	CD276 antigen homolog	protein-coding
128318808	LOC128318808	-	uncharacterized LOC128318808	ncRNA
128318809	LOC128318809	-	uncharacterized LOC128318809	ncRNA
128318810	LOC128318810	-	uncharacterized LOC128318810	ncRNA
128318811	LOC128318811	-	uncharacterized LOC128318811	ncRNA
128318812	LOC128318812	-	uncharacterized LOC128318812	ncRNA
128318813	LOC128318813	-	uncharacterized LOC128318813	ncRNA
128318814	LOC128318814	-	uncharacterized LOC128318814	ncRNA
128318815	LOC128318815	-	uncharacterized LOC128318815	ncRNA
128318816	LOC128318816	-	uncharacterized LOC128318816	ncRNA
128318817	LOC128318817	-	uncharacterized LOC128318817	ncRNA
128318818	LOC128318818	-	uncharacterized LOC128318818	ncRNA
128318819	LOC128318819	-	uncharacterized LOC128318819	ncRNA
128318820	LOC128318820	-	protocadherin alpha-C2-like	protein-coding
128318821	lsm10	-	LSM10, U7 small nuclear RNA associated	protein-coding
128318822	LOC128318822	-	uncharacterized LOC128318822	ncRNA
128318823	LOC128318823	-	uncharacterized LOC128318823	ncRNA
128318824	LOC128318824	-	uncharacterized LOC128318824	ncRNA
128318825	LOC128318825	-	uncharacterized LOC128318825	ncRNA
128318826	LOC128318826	-	uncharacterized LOC128318826	ncRNA
128318827	LOC128318827	-	Ig kappa chain V-V region L7-like	other
